name,noize,method,score,error
samples/2.jpeg,COMPLEX_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.906788,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.909028,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.909028,"(0,0)",
samples/2.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.905182,"(0,0)",
samples/2.jpeg,DARKEN(0.400000),,0.990993,"(0,0)",
samples/2.jpeg,DARKEN(0.600000),,0.991176,"(0,0)",
samples/2.jpeg,DARKEN(0.800000),,0.991242,"(0,0)",
samples/2.jpeg,DARKEN(1.000000),,0.991286,"(0,0)",
samples/2.jpeg,DARKEN(1.200000),,0.838931,"(0,0)",
samples/2.jpeg,DARKEN(1.400000),FAILED,FAILED,FAILED,
samples/2.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957763,"(10,3)",
samples/2.jpeg,ROTATE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.965821,"(7,3)",
samples/2.jpeg,ROTATE(0.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.911143,"(7,2)",
samples/2.jpeg,ROTATE(1.000000),HOMOGRAPHY_TRANSFORM:,0.945347,"(0,1)",
samples/2.jpeg,ROTATE(1.200000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.929959,"(7,3)",
samples/2.jpeg,ROTATE(1.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.960616,"(10,3)",
samples/2.jpeg,ROTATE(1.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.964697,"(7,3)",
samples/2.jpeg,ROTATE(1.800000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.933136,"(7,3)",
samples/2.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957763,"(10,3)",
samples/2.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/2.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.957763,"(10,3)",
samples/2.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/2.jpeg,GAUSSIAN_NOISE(0.400000),,0.846442,"(0,0)",
samples/2.jpeg,GAUSSIAN_NOISE(0.600000),FAILED,FAILED,FAILED,
samples/3.jpeg,FLAT_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,FLAT_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.966403,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(0.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(0.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.000000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.200000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.600000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,COMPLEX_UTURIKOMI(1.800000),MEAN_DENOISING:BINARIZATION_MASK:,0.912818,"(0,0)",
samples/3.jpeg,DARKEN(0.400000),,0.997679,"(0,0)",
samples/3.jpeg,DARKEN(0.600000),,0.997754,"(0,0)",
samples/3.jpeg,DARKEN(0.800000),,0.997782,"(0,0)",
samples/3.jpeg,DARKEN(1.000000),,0.997805,"(0,0)",
samples/3.jpeg,DARKEN(1.200000),FAILED,FAILED,FAILED,
samples/3.jpeg,ROTATE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.925647,"(15,36)",
samples/3.jpeg,ROTATE(0.600000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.946870,"(7,0)",
samples/3.jpeg,ROTATE(0.800000),FAILED,FAILED,FAILED,
samples/3.jpeg,STRECH(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.925647,"(15,36)",
samples/3.jpeg,STRECH(0.600000),FAILED,FAILED,FAILED,
samples/3.jpeg,SQUEEZE(0.400000),BINARIZATION_MASK:HOMOGRAPHY_TRANSFORM:,0.925647,"(15,36)",
samples/3.jpeg,SQUEEZE(0.600000),FAILED,FAILED,FAILED,
samples/3.jpeg,GAUSSIAN_NOISE(0.400000),MEAN_DENOISING:BINARIZATION_MASK:,0.800695,"(0,0)",
samples/3.jpeg,GAUSSIAN_NOISE(0.600000),FAILED,FAILED,FAILED,
